Candidates,ViableProb,IndProb,TimeMean,TimeSD
1,0.78,0.32,12,3
1,0.8,0.32,12,3
1,0.8,0.32,8,2
1,0.78,0.32,16,5
1,0.78,0.32,16,4
8,0.78,0.14,8,3
6,0.8,0.14,8,3
7,0.7,0.14,12,3
7,0.6,0.14,16,4
4,0.7,0.14,8,3
3,0.8,0.14,12,4
4,0.6,0.14,12,3
3,0.72,0.14,16,5
5,0.6,0.07,8,3
1,0.8,0.14,12,3
1,0.78,0.14,12,3
1,0.78,0.14,12,3
1,0.7,0.14,8,3
1,0.7,0.14,8,3
1,0.7,0.14,8,3
1,0.7,0.14,12,3
1,0.7,0.14,12,6
1,0.6,0.14,12,5
6,0.78,0.14,12,5
5,0.6,0.14,12,5
6,0.7,0.07,12,3
